HMAMixes_ID,HMA_MixType,DesignBinderType,Sample ID#,IDT_FailureStrain (Inch/Inch)
HMA TTI 00001,Type D,PG 64-22,Sample01,0.021145
HMA TTI 00001,Type D,PG 64-22,Sample02,0.022255
HMA TTI 00001,Type D,PG 64-22,Sample03,0.023533333
HMA TTI 00008b,Type B,PG 64-22,Sample01,0.016533333
HMA TTI 00008b,Type B,PG 64-22,Sample02,0.01803
HMA TTI 00008b,Type B,PG 64-22,Sample03,0.017731667
HMA TTI 00006a,CAM,PG 76-22,Sample01,0.046645
HMA TTI 00006a,CAM,PG 76-22,Sample02,0.038333333
HMA TTI 00006a,CAM,PG 76-22,Sample03,0.043855
HMA TTI 00006b,PFC,PG 76-22,Sample01,0.034766667
HMA TTI 00006b,PFC,PG 76-22,Sample02,0.027221667
HMA TTI 00006b,PFC,PG 76-22,Sample03,0.038333333
HMA TTI 00004,SMA,PG 76-22,Sample01,0.01889
HMA TTI 00004,SMA,PG 76-22,Sample02,0.020433333
HMA TTI 00004,SMA,PG 76-22,Sample03,0.028966667
HMA TTI 00007,Type F,PG 76-22,Sample01,0.039233333
HMA TTI 00007,Type F,PG 76-22,Sample02,0.0403
HMA TTI 00007,Type F,PG 76-22,Sample03,0.040766667
HMA TTI 00005,Type C,PG 64-22,Sample01,0.017111667
HMA TTI 00005,Type C,PG 64-22,Sample02,0.018478333
HMA TTI 00005,Type C,PG 64-22,Sample03,0.016445
HMA TTI 00025,Type C,PG 64-22,Sample01,0.013555
HMA TTI 00025,Type C,PG 64-22,Sample02,0.009388333
HMA TTI 00025,Type C,PG 64-22,Sample03,0.012833333
HMA TTI 00015,Type C,PG 64-22,Sample01,0.016666667
HMA TTI 00015,Type C,PG 64-22,Sample02,0.016666667
HMA TTI 00015,Type C,PG 64-22,Sample03,0.015
HMA TTI 00009,Type B,PG 64-22,Sample01,0.030333333
HMA TTI 00009,Type B,PG 64-22,Sample02,0.0266
HMA TTI 00009,Type B,PG 64-22,Sample03,0.025078333
HMA TTI 00032,SP-D,PG 64-22,Sample01,0.015078333
HMA TTI 00032,SP-D,PG 64-22,Sample02,0.01757
HMA TTI 00032,SP-D,PG 64-22,Sample03,0.02083
HMA TTI 00024,Type D,PG 64-22,Sample01,0.018495
HMA TTI 00024,Type D,PG 64-22,Sample02,0.020668333
HMA TTI 00024,Type D,PG 64-22,Sample03,0.021446667
HMA TTI 00016,Type D,PG 64-22,Sample01,0.015488333
HMA TTI 00016,Type D,PG 64-22,Sample02,0.017176667
HMA TTI 00016,Type D,PG 64-22,Sample03,0.016788333
HMA TTI 00040,Type D,PG 64-22,Sample01,0.017521667
HMA TTI 00040,Type D,PG 64-22,Sample02,0.0161
HMA TTI 00040,Type D,PG 64-22,Sample03,0.016066667
HMA TTI 00017,TOM,PG 76-22,Sample01,0.018056667
HMA TTI 00017,TOM,PG 76-22,Sample02,0.021848333
HMA TTI 00017,TOM,PG 76-22,Sample03,0.018846667
